subject,difficulty,hours_available,deadline_days,importance,study_type,previous_score,actual_hours_needed
Biology,3,1,9,2,Theory,68,2.09
Biology,2,5,3,5,Practical,87,10.78
Economics,2,7,10,2,Theory,80,1.28
History,2,5,1,4,Practical,58,26.52
Physics,3,3,13,1,Conceptual,90,1.03
Chemistry,1,3,10,2,Conceptual,65,2.16
Chemistry,3,5,7,3,Conceptual,82,3.95
Programming,2,7,4,2,Theory,67,2.66
Math,1,4,12,5,Theory,57,2.04
Machine Learning,1,1,6,4,Conceptual,76,2.75
Chemistry,3,8,7,5,Practical,81,7.57
Computer Science,4,3,12,3,Theory,89,1.95
Computer Science,4,2,10,1,Conceptual,64,2.69
Statistics,4,6,1,1,Practical,95,12.3
Physics,3,3,8,2,Theory,77,1.94
Geography,2,1,15,1,Theory,62,1.43
Computer Science,5,3,14,3,Theory,85,2.19
AI,5,5,14,5,Practical,73,6.98
AI,4,7,4,3,Conceptual,43,9.94
Chemistry,1,6,1,3,Theory,87,5.22
History,4,3,2,3,Conceptual,48,16.9
Math,2,4,11,3,Theory,94,1.06
Economics,3,7,5,5,Practical,90,9.6
English,3,7,10,4,Conceptual,83,3.7
Math,3,6,1,2,Practical,89,18.66
English,3,5,3,4,Conceptual,60,11.52
History,1,3,2,2,Practical,79,4.26
Physics,3,3,9,4,Theory,69,3.13
Chemistry,5,5,1,3,Theory,74,24.83
English,1,5,15,3,Conceptual,55,2.64
Physics,4,3,15,1,Theory,40,2.35
Biology,2,6,13,3,Theory,50,2.34
Computer Science,1,2,3,2,Theory,75,1.87
Programming,1,7,6,3,Theory,40,2.72
Biology,5,6,7,2,Practical,54,7.05
Economics,2,7,14,2,Practical,45,4.16
Machine Learning,4,4,3,1,Conceptual,70,4.64
Programming,4,5,9,3,Theory,80,2.77
Machine Learning,2,5,2,3,Practical,65,11.1
Biology,1,5,13,2,Theory,59,1.56
Math,4,7,3,4,Conceptual,83,13.62
History,4,3,8,3,Theory,44,4.19
Economics,2,3,6,2,Theory,82,1.64
Programming,4,5,15,5,Theory,44,3.93
Math,1,4,15,4,Theory,55,1.87
Geography,5,7,2,1,Conceptual,79,7.01
History,4,7,2,2,Practical,89,12.66
Programming,1,2,3,5,Practical,57,7.58
Computer Science,1,3,7,5,Practical,67,4.12
English,4,8,12,4,Practical,93,4.42
Statistics,5,7,3,4,Theory,94,10.86
Biology,3,1,14,2,Practical,82,2.37
Chemistry,1,7,11,2,Practical,70,2.35
History,3,5,14,3,Conceptual,82,2.41
Machine Learning,5,7,2,1,Practical,44,10.86
Chemistry,4,4,9,4,Practical,74,6.89
History,4,3,15,3,Theory,57,2.66
AI,4,4,7,1,Conceptual,73,2.67
AI,1,8,12,3,Conceptual,61,2.47
Biology,1,4,6,5,Practical,57,5.08
Geography,5,4,4,4,Theory,42,9.86
Math,5,3,1,5,Practical,87,75.78
Machine Learning,4,7,2,2,Conceptual,71,10.99
Geography,4,3,13,2,Practical,78,3.17
Machine Learning,1,1,1,5,Practical,71,16.74
Biology,5,1,7,2,Conceptual,78,4.48
Programming,2,3,7,2,Conceptual,44,4.06
Statistics,4,6,12,5,Practical,63,7.22
Biology,2,2,14,4,Practical,75,3.21
Economics,3,8,11,1,Theory,67,1.49
History,5,2,1,2,Theory,72,16.9
Chemistry,2,5,4,4,Theory,59,4.51
Programming,1,8,4,1,Theory,86,0.85
Computer Science,1,6,6,4,Conceptual,65,3.28
Biology,1,7,13,3,Practical,43,4.11
Economics,2,5,3,3,Conceptual,60,6.72
Statistics,5,5,6,5,Practical,83,13.52
Math,3,2,8,5,Theory,54,4.47
Physics,3,1,12,1,Conceptual,54,2.81
History,4,5,4,3,Conceptual,58,9.22
English,1,8,5,4,Practical,87,3.18
Machine Learning,1,6,12,1,Conceptual,72,1.54
Physics,1,3,14,4,Practical,83,1.88
Geography,5,7,6,3,Practical,81,8.64
Statistics,4,1,13,2,Conceptual,75,2.68
Biology,3,8,7,2,Theory,73,2.24
Math,4,2,13,5,Theory,54,3.93
AI,1,7,4,5,Conceptual,70,4.44
Machine Learning,4,6,12,3,Conceptual,73,3.7
Programming,3,6,14,5,Practical,56,5.85
Statistics,1,7,13,3,Conceptual,40,3.43
Machine Learning,3,4,10,4,Conceptual,82,3.74
Math,5,3,2,4,Theory,43,17.82
History,3,4,14,3,Practical,59,4.39
Machine Learning,1,4,1,1,Practical,58,5.52
AI,2,2,3,5,Conceptual,94,8.29
Statistics,3,2,7,2,Practical,92,3.05
Programming,1,6,2,2,Conceptual,87,3.02
Chemistry,1,6,9,1,Conceptual,56,2.38
AI,4,2,12,3,Conceptual,82,3.26
History,1,6,15,2,Conceptual,83,1.14
Economics,1,3,13,2,Conceptual,70,1.81
Chemistry,3,3,14,1,Conceptual,95,0.75
Machine Learning,3,3,12,2,Theory,61,2.05
Math,2,1,14,4,Theory,55,2.35
English,1,4,9,5,Practical,65,3.77
AI,2,3,4,3,Conceptual,90,4.08
Programming,3,2,6,5,Theory,93,4.22
Statistics,4,6,10,2,Theory,89,1.63
History,4,8,15,1,Theory,83,0.97
Math,3,2,7,1,Conceptual,90,1.51
Economics,3,4,6,4,Conceptual,50,7.2
Statistics,5,4,8,3,Theory,66,4.09
AI,1,6,11,2,Theory,61,1.54
AI,4,6,12,3,Conceptual,74,3.65
English,4,1,9,5,Practical,44,10.03
Programming,3,2,4,5,Practical,72,12.93
AI,5,4,12,2,Theory,42,3.19
Biology,2,2,5,4,Theory,50,4.16
Machine Learning,5,6,8,1,Conceptual,90,1.98
AI,4,6,15,4,Theory,45,3.47
Math,3,2,1,2,Practical,87,18.78
Computer Science,2,8,6,3,Conceptual,44,5.09
English,1,7,3,2,Practical,59,4.46
Physics,4,4,5,3,Conceptual,52,8.06
Statistics,2,8,6,4,Practical,57,6.58
History,2,7,15,5,Theory,83,1.61
Geography,3,3,7,5,Conceptual,90,5.62
History,2,8,5,4,Practical,71,6.54
History,2,4,9,4,Theory,42,3.28
Math,2,8,6,5,Practical,72,6.68
Computer Science,3,5,9,2,Theory,45,2.83
History,1,6,1,2,Conceptual,58,6.82
Chemistry,5,2,4,4,Conceptual,73,13.3
Math,1,6,13,5,Theory,51,2.18
Programming,2,7,4,3,Theory,78,3.1
English,3,3,8,3,Practical,66,5.42
Programming,1,5,7,5,Practical,59,4.6
AI,2,7,14,4,Theory,73,1.78
Economics,2,2,12,4,Theory,57,2.44
Chemistry,2,7,5,2,Practical,57,4.98
Math,2,6,7,4,Practical,59,5.89
Chemistry,4,7,7,5,Theory,69,5.56
Economics,4,3,9,1,Conceptual,54,3.27
Machine Learning,4,2,3,4,Practical,62,18.28
English,2,7,4,5,Practical,67,9.48
AI,3,4,7,2,Conceptual,91,2.49
Programming,4,1,1,4,Conceptual,92,38.78
History,1,3,2,3,Theory,48,4.06
Statistics,4,3,14,5,Conceptual,63,5.2
History,1,7,3,5,Conceptual,62,5.82
Physics,4,7,2,3,Practical,82,19.08
Machine Learning,5,8,4,3,Practical,94,11.61
Machine Learning,2,3,14,4,Practical,60,4.11
Chemistry,5,8,8,2,Theory,53,3.5
Economics,1,4,9,4,Theory,43,2.54
Machine Learning,5,6,6,3,Conceptual,64,7.73
English,4,6,1,2,Practical,93,24.42
Biology,3,2,14,5,Conceptual,75,3.77
Geography,4,8,8,2,Theory,41,3.49
Biology,4,8,1,5,Conceptual,43,50.74
Statistics,3,2,8,2,Theory,85,1.68
Statistics,2,8,12,2,Theory,50,2.13
Computer Science,1,7,13,2,Theory,91,0.53
Machine Learning,1,6,12,2,Practical,65,2.6
Computer Science,5,8,14,4,Theory,74,3.12
History,3,6,4,2,Conceptual,93,3.94
Statistics,4,4,2,4,Theory,55,14.24
Physics,4,1,14,3,Practical,70,4.37
Biology,1,8,5,5,Theory,50,3.2
Geography,5,4,8,4,Theory,44,5.79
Economics,2,5,10,5,Practical,52,5.88
Computer Science,3,6,10,1,Theory,43,2.3
History,3,6,6,2,Conceptual,58,4.42
Chemistry,5,5,9,3,Theory,55,4.11
Math,4,1,13,3,Theory,72,2.37
Math,5,4,10,1,Conceptual,62,3.02
Programming,2,6,11,3,Conceptual,56,3.42
Machine Learning,2,3,14,3,Conceptual,94,1.32
Statistics,4,5,2,4,Practical,59,26.46
Statistics,5,8,12,5,Practical,88,6.97
Chemistry,2,2,2,4,Practical,70,13.8
English,1,4,4,5,Conceptual,91,3.43
Statistics,4,4,12,1,Conceptual,63,2.58
English,2,7,3,1,Conceptual,95,1.84
Physics,4,3,3,4,Theory,75,9.33
Math,5,6,4,1,Practical,92,4.23
English,2,1,5,4,Conceptual,72,5.18
English,5,1,10,5,Theory,60,5.28
Computer Science,4,2,9,5,Conceptual,77,6.44
History,4,2,11,5,Conceptual,83,5.18
Chemistry,1,7,10,5,Theory,58,2.14
Geography,2,4,7,3,Conceptual,50,4.46
Computer Science,4,1,11,2,Theory,95,1.32
Statistics,1,6,5,5,Conceptual,83,3.22
History,4,6,5,5,Theory,57,7.78
Biology,2,8,7,3,Conceptual,48,4.55
Economics,5,6,11,2,Practical,69,4.59
Geography,2,6,14,2,Practical,93,1.28
History,2,2,4,4,Conceptual,48,7.3
Economics,5,5,13,3,Practical,56,6.1
AI,2,3,10,4,Theory,57,2.66
Math,5,4,6,4,Theory,41,7.22
Programming,2,1,14,3,Practical,60,3.69
English,1,4,3,4,Conceptual,69,4.69
Computer Science,1,1,5,3,Theory,41,2.85
Computer Science,4,5,1,1,Practical,60,14.4
AI,2,8,2,5,Theory,42,9.86
Chemistry,3,2,2,4,Theory,61,10.85
Physics,5,3,9,4,Practical,86,7.51
Math,1,7,1,5,Practical,52,17.88
Computer Science,1,8,5,5,Conceptual,49,4.85
Chemistry,1,1,13,1,Theory,41,2.01
Geography,4,7,7,4,Theory,40,5.58
Economics,1,4,14,2,Conceptual,78,1.4
Computer Science,5,1,2,3,Theory,52,13.54
Programming,3,8,3,4,Conceptual,57,11.66
Programming,4,3,14,5,Theory,44,4.08
Physics,3,7,7,1,Theory,68,1.71
AI,3,1,2,1,Theory,94,2.59
Math,5,5,15,2,Theory,95,1.23
Statistics,2,8,14,3,Practical,85,2.19
Biology,3,7,1,5,Practical,66,47.04
Physics,5,8,3,2,Conceptual,68,9.54
Statistics,1,7,3,3,Practical,60,5.4
Computer Science,3,8,9,5,Theory,42,4.52
History,2,1,9,3,Theory,47,2.76
Physics,1,8,2,2,Conceptual,49,4.85
English,4,8,5,2,Practical,80,6.0
English,5,1,11,2,Practical,85,3.63
Machine Learning,3,6,14,3,Conceptual,65,3.22
Machine Learning,3,6,2,5,Practical,47,25.68
Computer Science,2,5,15,2,Practical,79,2.06
Economics,1,2,14,4,Theory,41,2.35
Economics,4,3,15,5,Conceptual,89,3.73
AI,5,6,7,2,Theory,73,3.15
Programming,2,7,8,2,Conceptual,74,2.45
Machine Learning,1,7,5,4,Conceptual,88,2.5
Machine Learning,5,6,15,1,Theory,47,2.23
Computer Science,5,3,5,3,Theory,48,6.46
Computer Science,3,3,5,4,Theory,54,5.31
Economics,1,8,10,3,Conceptual,41,3.55
Math,1,4,14,5,Practical,75,2.57
English,4,8,4,2,Theory,73,4.06
Computer Science,1,5,15,5,Practical,44,4.36
Machine Learning,3,3,15,1,Conceptual,73,1.78
Machine Learning,5,4,14,5,Practical,90,5.96
Economics,4,7,15,4,Theory,61,2.95
Statistics,3,3,11,5,Conceptual,78,4.33
English,4,8,11,4,Practical,48,7.48
Statistics,5,1,7,3,Conceptual,84,5.91
Statistics,1,5,11,1,Theory,95,0.31
Statistics,2,4,3,2,Theory,65,3.25
Programming,2,2,10,5,Conceptual,44,5.09
Physics,4,5,15,4,Practical,45,6.5
Machine Learning,4,3,5,1,Practical,79,3.66
Biology,3,8,4,1,Theory,61,2.45
Statistics,4,2,10,4,Theory,42,4.42
Programming,2,3,2,1,Conceptual,70,3.84
Machine Learning,3,6,3,4,Practical,72,13.68
Biology,3,2,11,3,Conceptual,76,3.12
Programming,5,5,15,5,Conceptual,80,4.96
Physics,5,4,5,2,Practical,77,7.38
Biology,1,7,4,1,Practical,48,3.87
Physics,4,1,15,3,Theory,43,3.1
Physics,3,1,9,2,Theory,71,1.99
Economics,1,3,5,4,Practical,46,5.64
AI,3,7,6,4,Theory,62,4.42
Geography,3,4,2,5,Theory,85,12.48
Biology,2,6,13,3,Practical,90,1.98
Biology,4,4,14,5,Conceptual,67,5.01
Geography,1,3,1,5,Practical,65,17.1
Economics,1,4,15,3,Practical,70,2.4
Math,5,6,12,3,Theory,80,2.64
Computer Science,2,3,6,4,Theory,92,2.39
Biology,3,4,2,3,Theory,92,7.46
Math,2,8,14,4,Practical,70,3.51
Programming,1,2,8,4,Theory,43,2.62
Chemistry,4,3,10,2,Theory,68,2.3
Math,1,4,9,3,Theory,77,1.27
Biology,1,5,15,4,Practical,85,1.7
English,1,6,10,1,Practical,41,3.84
Physics,2,1,3,5,Theory,65,6.45
Economics,3,6,11,4,Practical,90,3.87
Statistics,3,4,7,3,Conceptual,60,5.01
Machine Learning,1,8,13,1,Conceptual,41,3.02
Geography,1,1,7,4,Theory,54,2.39
History,4,4,6,1,Practical,88,2.72
Physics,1,4,2,4,Conceptual,88,5.38
Physics,4,5,10,1,Conceptual,76,2.11
Economics,1,7,10,4,Practical,76,2.64
Computer Science,5,8,15,4,Practical,40,7.6
Geography,5,4,15,1,Practical,94,1.36
Geography,4,5,14,1,Theory,50,2.06
Statistics,1,7,8,2,Practical,94,1.11
Statistics,4,6,6,3,Theory,83,3.74
Physics,4,4,9,1,Conceptual,93,1.4
AI,1,5,11,2,Theory,88,0.67
Programming,4,4,8,3,Practical,46,7.74
Computer Science,1,8,13,2,Conceptual,90,0.85
Computer Science,1,7,1,1,Practical,47,6.18
Statistics,5,7,14,1,Theory,50,2.17
Math,4,3,9,3,Conceptual,50,5.6
Math,3,7,10,5,Conceptual,43,6.34
Computer Science,3,1,8,3,Theory,43,3.62
History,5,5,2,3,Practical,62,24.78
Chemistry,3,3,11,5,Practical,91,4.63
Economics,3,2,3,5,Theory,59,9.31
Machine Learning,3,6,13,5,Conceptual,58,4.79
History,3,4,9,5,Conceptual,76,5.15
Machine Learning,5,3,3,2,Practical,46,13.24
Chemistry,3,1,15,5,Practical,85,3.9
Chemistry,3,2,5,4,Conceptual,74,7.01
English,2,1,9,5,Theory,92,2.03
Chemistry,1,6,4,5,Conceptual,88,3.58
Chemistry,2,6,2,3,Theory,94,4.99
Machine Learning,1,4,2,4,Conceptual,72,6.14
Machine Learning,3,2,10,2,Theory,76,1.73
Geography,3,1,7,1,Practical,70,3.09
Physics,1,5,15,5,Conceptual,54,3.01
Programming,3,5,13,5,Conceptual,95,3.01
Economics,3,5,11,1,Theory,63,1.62
Economics,3,6,10,1,Conceptual,93,1.06
Statistics,4,1,6,2,Practical,69,5.86
Biology,4,4,13,5,Practical,64,6.78
AI,4,5,10,2,Conceptual,95,2.16
English,3,1,5,3,Practical,72,7.08
Physics,3,1,11,2,Practical,67,3.62
Biology,2,2,10,1,Practical,91,1.14
English,4,3,3,4,Practical,81,17.14
Computer Science,2,6,2,5,Practical,54,17.76
Statistics,2,1,15,3,Theory,89,0.99
Biology,5,1,2,1,Practical,57,10.08
Math,4,1,2,3,Practical,66,20.04
Chemistry,4,8,1,5,Practical,89,60.66
Economics,2,1,9,3,Practical,71,3.74
AI,1,6,4,5,Practical,43,7.17
Physics,5,1,11,1,Theory,85,1.21
Statistics,1,2,12,3,Conceptual,52,2.9
Computer Science,5,4,9,3,Theory,79,3.34
History,1,3,2,5,Practical,78,8.82
Math,5,1,2,1,Theory,82,4.58
Computer Science,3,6,4,3,Theory,74,4.43
Physics,5,4,6,1,Theory,67,2.39
Math,3,5,11,1,Theory,91,0.72
Economics,4,8,15,3,Practical,81,3.54
Machine Learning,1,6,7,3,Conceptual,53,3.28
English,3,7,11,4,Theory,53,3.25
Machine Learning,4,2,10,3,Theory,86,2.37
Physics,4,3,2,4,Theory,71,13.73
Programming,1,6,15,4,Practical,53,3.62
Computer Science,5,7,14,5,Practical,93,5.78
Chemistry,1,4,12,5,Conceptual,64,2.73
Computer Science,4,3,1,3,Theory,40,21.12
Geography,2,6,12,4,Conceptual,46,4.19
Machine Learning,1,3,11,3,Practical,74,2.38
Programming,4,2,10,4,Theory,40,4.48
English,1,7,11,1,Conceptual,72,1.56
Statistics,2,1,1,4,Conceptual,87,19.82
Physics,4,2,1,1,Practical,86,12.84
Economics,3,7,3,2,Practical,46,9.24
Geography,1,3,8,1,Conceptual,72,1.64
Computer Science,2,3,13,3,Conceptual,49,3.56
Chemistry,1,5,8,5,Conceptual,92,1.88
Economics,1,2,9,3,Theory,54,2.01
History,3,1,14,2,Practical,64,3.45
AI,3,6,11,2,Practical,84,2.6
Chemistry,3,5,15,1,Practical,92,1.08
Programming,4,2,14,4,Conceptual,78,3.8
Computer Science,2,8,12,5,Practical,81,3.64
Statistics,3,3,15,3,Theory,86,1.41
Biology,3,5,8,1,Practical,69,2.98
AI,5,2,8,1,Theory,56,2.41
AI,5,3,3,1,Practical,84,5.96
Economics,2,6,2,5,Practical,89,15.66
Statistics,4,6,7,2,Conceptual,79,3.75
Geography,2,8,8,2,Practical,83,2.52
Programming,2,4,10,4,Practical,66,4.44
Machine Learning,1,2,4,2,Conceptual,87,1.82
Economics,1,8,10,4,Theory,78,1.34
Geography,3,6,7,1,Theory,85,1.17
Economics,1,8,10,2,Theory,80,0.96
Machine Learning,5,3,8,1,Conceptual,55,3.66
Chemistry,1,7,6,3,Theory,90,1.12
AI,4,4,12,3,Practical,91,3.54
Physics,1,6,8,5,Theory,87,1.42
English,1,5,2,1,Practical,88,2.22
Geography,4,5,4,4,Practical,58,14.52
Economics,5,1,6,2,Theory,91,2.95
Economics,1,2,1,2,Practical,65,8.1
Programming,4,4,14,4,Theory,79,2.5
Geography,3,1,11,5,Practical,66,6.13
English,5,5,13,1,Practical,50,4.15
Biology,4,3,15,4,Conceptual,72,3.9
Statistics,5,1,13,5,Theory,94,3.27
Math,4,2,12,2,Conceptual,69,3.09
Chemistry,2,4,8,1,Conceptual,91,1.03
Programming,1,1,2,2,Theory,84,2.11
Biology,3,4,1,5,Conceptual,43,38.74
Computer Science,2,7,9,3,Theory,64,2.22
Biology,1,6,6,5,Practical,72,4.18
Chemistry,2,4,3,1,Practical,51,4.94
Geography,2,6,11,3,Practical,46,4.88
Programming,1,1,8,1,Conceptual,57,2.36
Physics,5,5,1,4,Conceptual,66,49.63
Computer Science,3,7,7,4,Practical,91,5.68
Statistics,2,3,11,1,Practical,84,1.51
English,5,8,7,1,Theory,84,1.65
Biology,5,8,7,2,Conceptual,71,4.82
Economics,4,6,11,5,Theory,82,3.49
Biology,5,4,8,1,Practical,44,5.24
Statistics,2,7,5,1,Practical,47,4.38
Machine Learning,4,5,2,2,Practical,85,12.9
Computer Science,3,1,10,1,Conceptual,55,2.88
English,1,5,5,3,Theory,79,1.63
Chemistry,4,5,7,3,Theory,84,3.25
Computer Science,4,2,14,4,Practical,83,4.45
Machine Learning,3,8,13,3,Theory,42,2.96
Statistics,2,1,1,5,Conceptual,45,26.64
Machine Learning,3,7,5,1,Conceptual,54,3.65
Computer Science,5,8,13,3,Conceptual,65,4.45
Computer Science,4,3,5,4,Theory,74,5.95
Geography,3,5,7,4,Practical,46,8.38
Physics,4,5,5,1,Conceptual,48,4.42
Computer Science,4,2,13,5,Conceptual,87,4.32
Geography,2,1,11,3,Theory,50,2.47
History,3,5,1,3,Theory,76,15.17
Computer Science,1,8,9,3,Conceptual,46,3.39
Programming,1,5,5,2,Practical,58,3.72
Biology,1,2,1,1,Theory,81,2.21
Machine Learning,4,3,3,5,Conceptual,92,16.38
Math,3,5,7,2,Conceptual,59,4.03
Biology,3,6,14,4,Conceptual,59,4.03
Chemistry,1,8,12,3,Theory,53,1.9
Economics,1,7,3,4,Practical,80,5.2
Computer Science,4,2,2,2,Theory,57,7.78
AI,3,6,11,4,Conceptual,53,4.87
Math,5,4,12,5,Practical,73,7.87
Geography,3,7,6,1,Practical,72,3.18
Programming,5,4,7,4,Theory,46,6.3
English,5,1,3,3,Practical,87,15.78
AI,3,4,3,2,Theory,86,3.65
Math,1,4,5,3,Theory,41,2.85
Math,4,4,7,2,Practical,81,4.57
Statistics,2,1,7,5,Conceptual,48,5.92
Machine Learning,5,4,14,1,Theory,59,1.88
Physics,3,7,13,4,Theory,71,2.4
Biology,3,5,9,2,Conceptual,78,2.66
History,5,3,12,5,Theory,59,4.65
Biology,3,2,1,5,Theory,54,25.47
Programming,5,2,11,3,Practical,76,5.53
Chemistry,1,1,7,3,Conceptual,74,2.28
Machine Learning,1,8,11,1,Theory,64,1.3
History,3,8,9,3,Theory,70,2.56
Machine Learning,4,2,10,5,Conceptual,69,6.29
Machine Learning,3,3,11,4,Practical,47,6.45
Machine Learning,1,8,2,4,Conceptual,40,7.68
History,3,1,10,1,Conceptual,68,2.26
Biology,5,5,10,1,Practical,69,3.36
Biology,2,2,5,5,Theory,64,4.35
Math,3,2,3,3,Theory,87,5.22
Math,3,6,11,1,Practical,77,2.2
Physics,2,4,9,5,Practical,60,5.73
Physics,3,6,6,5,Practical,68,9.42
AI,2,3,11,1,Practical,77,1.93
AI,2,3,5,2,Practical,71,4.14
History,4,3,4,1,Conceptual,74,3.65
Math,2,8,9,2,Practical,73,2.95
Computer Science,5,8,9,3,Practical,90,5.6
Geography,1,7,3,2,Theory,91,1.35
English,5,6,10,4,Conceptual,63,6.58
Geography,4,6,13,3,Practical,56,5.41
AI,5,1,1,2,Theory,93,16.22
Physics,1,6,8,5,Theory,92,1.26
Geography,4,3,6,4,Conceptual,81,7.31
Programming,2,4,8,4,Practical,52,5.88
English,5,2,14,5,Practical,71,7.1
Statistics,4,7,11,3,Theory,46,3.47
Biology,1,3,3,2,Theory,60,2.35
Computer Science,5,1,15,4,Practical,42,7.48
Math,5,1,7,1,Conceptual,86,2.39
History,1,2,13,5,Practical,46,4.39
Math,3,7,4,3,Conceptual,81,6.31
Statistics,1,6,7,5,Conceptual,88,2.29
English,2,4,13,1,Theory,56,1.65
Biology,4,3,12,1,Theory,61,1.78
Math,5,7,4,4,Conceptual,50,14.4
Statistics,3,1,12,3,Conceptual,58,3.82
Physics,3,3,15,1,Conceptual,52,2.78
English,3,3,1,2,Practical,69,19.86
Statistics,5,3,8,2,Theory,49,3.63
Math,1,8,11,3,Theory,54,1.91
Programming,2,7,7,3,Theory,87,1.79
Math,1,3,12,4,Conceptual,48,3.3
AI,4,2,14,4,Theory,78,2.53
Machine Learning,3,7,4,2,Practical,43,7.92
Geography,1,8,11,5,Practical,45,4.66
Geography,3,6,1,3,Practical,82,28.08
Economics,5,6,2,1,Theory,82,4.58
Biology,3,8,13,2,Theory,40,2.66
Chemistry,3,8,4,4,Conceptual,72,8.54
Math,5,8,7,2,Conceptual,74,4.68
Economics,4,2,1,4,Conceptual,84,39.17
Computer Science,5,2,10,3,Conceptual,42,6.38
Geography,1,5,15,5,Theory,52,2.07
Economics,1,5,7,5,Practical,81,3.28
History,4,8,12,3,Practical,75,4.5
Biology,2,5,8,4,Conceptual,79,3.41
Geography,3,3,6,5,Practical,73,9.12
Geography,2,5,3,3,Theory,74,4.03
Geography,2,1,6,2,Practical,56,4.64
Biology,2,7,10,1,Conceptual,57,2.54
English,4,5,7,5,Conceptual,50,9.26
Computer Science,3,6,7,4,Conceptual,64,5.84
Math,3,3,5,1,Conceptual,59,3.41
Chemistry,1,7,11,1,Theory,58,1.49
Geography,2,1,3,3,Practical,40,9.6
Biology,2,2,3,1,Practical,41,5.54
History,5,1,2,2,Practical,78,16.32
English,2,3,6,2,Theory,90,1.39
Computer Science,1,2,14,1,Theory,83,0.66
Geography,1,7,8,5,Theory,40,2.92
Computer Science,1,3,4,1,Practical,52,3.63
Chemistry,2,6,1,1,Theory,87,3.62
Biology,2,7,8,3,Theory,74,2.03
Programming,1,5,5,1,Practical,90,1.2
Computer Science,5,5,5,5,Theory,53,9.5
Machine Learning,3,3,6,1,Conceptual,83,2.02
Biology,5,5,1,3,Theory,62,25.22
Biology,5,8,3,5,Practical,64,27.16
English,1,8,11,2,Conceptual,57,2.5
Physics,1,3,1,5,Conceptual,51,14.35
Chemistry,4,7,12,1,Practical,66,3.04
Geography,4,6,3,5,Practical,84,20.96
Math,3,4,10,1,Practical,68,2.82
Statistics,3,2,10,4,Theory,94,2.11
Math,3,1,5,2,Theory,57,3.3
Programming,4,3,9,1,Theory,49,2.34
AI,3,5,14,4,Theory,48,3.04
Chemistry,4,8,5,2,Practical,61,7.14
Programming,3,7,8,3,Conceptual,68,4.24
Economics,3,6,3,1,Conceptual,58,4.42
Physics,5,3,13,3,Theory,79,2.52
AI,5,5,13,1,Conceptual,50,3.32
Statistics,5,8,12,2,Practical,50,5.5
Biology,3,1,8,3,Theory,46,3.53
English,4,2,14,1,Practical,68,2.78
Programming,1,6,8,2,Theory,75,1.2
AI,1,2,7,3,Theory,55,2.13
Machine Learning,1,8,8,4,Conceptual,63,2.98
Statistics,4,6,2,2,Theory,46,8.13
Geography,4,3,14,4,Practical,69,5.29
English,1,8,3,3,Conceptual,94,2.69
English,4,5,2,1,Practical,84,6.96
Statistics,3,3,10,2,Theory,72,1.86
Physics,5,5,2,1,Practical,60,9.9
Statistics,3,7,5,2,Theory,58,3.26
Computer Science,5,2,12,3,Theory,70,2.96
Statistics,3,1,15,2,Conceptual,88,1.54
History,4,2,12,2,Theory,40,2.99
Programming,4,2,3,5,Theory,82,11.24
Biology,1,8,6,5,Practical,40,6.1
Math,3,6,9,4,Practical,57,6.58
English,4,3,11,3,Theory,89,2.1
History,4,4,14,4,Practical,94,3.79
Geography,5,6,2,2,Theory,72,8.9
Geography,5,5,7,1,Practical,55,4.84
Chemistry,1,8,11,2,Practical,51,3.49
Programming,3,6,3,5,Practical,73,16.62
Biology,2,4,5,5,Conceptual,69,6.29
AI,3,5,10,2,Conceptual,77,2.54
Math,2,1,9,4,Conceptual,52,4.44
Economics,1,8,10,2,Conceptual,82,1.34
Chemistry,5,3,8,5,Theory,92,5.26
History,3,2,9,2,Practical,63,4.22
Economics,5,7,7,1,Practical,59,4.6
Economics,5,8,12,3,Conceptual,71,4.39
Programming,3,6,3,3,Conceptual,60,9.12
Geography,2,1,9,4,Conceptual,49,4.58
Math,1,3,15,2,Practical,69,2.26
Physics,1,1,8,1,Practical,84,1.33
Programming,1,7,10,4,Theory,93,0.86
Math,2,3,11,1,Theory,88,0.67
Math,2,3,3,2,Theory,43,3.96
English,2,8,6,3,Conceptual,87,3.02
English,3,4,13,4,Practical,55,5.47
Physics,3,6,1,1,Practical,87,9.78
AI,5,4,12,3,Theory,52,3.54
Computer Science,3,1,14,2,Conceptual,90,1.51
Economics,3,5,5,2,Conceptual,94,3.17
Chemistry,2,7,4,2,Theory,40,3.52
Economics,2,2,8,4,Practical,80,4.2
Math,2,2,6,3,Theory,83,2.14
Geography,2,7,14,4,Theory,43,2.74
Chemistry,3,5,12,4,Theory,65,2.72
Geography,4,7,13,4,Practical,50,6.69
Statistics,3,1,8,4,Conceptual,49,6.05
Statistics,5,7,10,2,Practical,66,5.04
Statistics,5,8,1,3,Practical,85,45.9
Geography,2,3,14,4,Theory,61,2.16
History,5,4,2,3,Theory,46,13.73
Computer Science,3,7,15,5,Theory,65,2.72
Geography,3,5,4,3,Practical,88,7.47
Biology,2,1,10,4,Practical,42,5.88
Machine Learning,4,2,4,4,Practical,69,13.86
Geography,5,1,2,2,Conceptual,56,14.11
AI,4,7,11,3,Theory,82,2.32
Computer Science,5,3,3,3,Practical,54,17.76
Physics,2,7,2,5,Conceptual,42,14.78
Statistics,4,7,4,5,Theory,90,8.32
English,5,4,9,2,Practical,87,4.11
